AVERAGE,CLEANLINESS,COMMUNICATION,CHECKIN,ACCURACY,LOCATION,VALUE,RATINGS_ID
3.5,4.4,4.5,1.8,3.4,2.5,4.7,1
2.7,1.6,3.0,1.5,3.6,3.3,3.5,2
3.7,5.0,2.9,2.2,4.4,3.8,4.4,3
3.5,2.9,2.6,4.4,3.0,3.3,5.0,4
2.7,1.6,2.1,1.6,3.5,3.9,3.7,5
3.6,4.2,4.9,1.9,2.8,3.6,4.3,6
3.5,3.3,2.0,4.9,2.9,3.9,4.2,7
1.9,1.4,3.6,2.8,1.0,1.1,2.0,8
3.2,4.6,1.9,4.6,1.9,2.8,3.7,9
2.5,3.7,1.6,2.2,1.9,2.3,3.8,10
2.8,5.0,1.9,4.1,1.7,2.3,2.1,11
2.7,1.4,4.6,3.7,2.1,3.5,1.3,12
2.7,3.3,1.0,3.1,2.7,2.0,4.6,13
3.2,2.6,2.1,1.9,5.0,3.4,4.4,14
2.0,1.7,1.8,1.2,1.4,3.0,3.4,15
2.8,4.2,4.6,2.3,1.6,3.3,1.0,16
4.1,3.8,4.4,4.7,4.2,4.9,2.8,17
2.8,4.7,2.8,2.4,3.2,2.3,1.4,18
3.3,2.4,2.7,3.4,4.4,2.9,4.2,19
3.0,1.3,3.8,2.4,3.8,3.7,3.3,20
2.3,2.8,2.1,3.9,1.5,1.4,2.5,21
2.2,4.3,1.5,3.2,1.3,1.9,1.0,22
2.8,4.5,1.8,4.0,1.7,1.7,3.6,23
2.3,1.0,2.0,4.1,2.1,2.0,2.6,24
2.9,2.3,3.5,1.6,2.4,4.8,3.3,25
3.1,3.5,4.4,1.0,2.3,2.9,4.8,26
3.9,3.8,4.9,4.1,3.7,3.3,3.7,27
3.6,4.3,3.9,2.4,3.3,4.3,3.5,28
3.5,2.0,4.3,4.5,3.3,2.9,4.1,29
2.9,3.8,1.7,2.7,4.7,2.0,2.9,30
3.1,1.3,2.7,4.2,4.9,1.1,4.4,31
2.3,1.7,4.5,2.6,1.3,2.7,1.3,32
3.2,4.0,1.6,4.9,2.5,4.4,2.0,33
2.5,1.7,1.5,2.6,3.5,3.9,2.1,34
3.2,3.4,2.3,3.3,3.7,4.3,2.6,35
2.3,1.8,1.4,3.9,1.8,1.0,4.2,36
2.6,2.3,2.7,3.1,2.6,1.4,3.5,37
3.4,1.8,3.2,4.5,3.0,3.9,4.1,38
2.8,2.6,1.9,3.0,4.0,4.1,1.5,39
2.5,1.0,3.1,2.4,2.2,2.4,4.3,40
3.5,5.0,2.8,2.9,2.2,3.5,4.7,41
2.6,4.2,1.5,2.9,2.2,3.2,1.7,42
3.2,2.2,4.1,4.7,1.0,4.8,2.7,43
3.1,2.5,2.4,3.9,1.9,4.9,3.5,44
3.3,2.8,4.5,2.3,1.6,4.2,4.5,45
3.5,3.1,4.0,2.2,4.9,3.3,4.0,46
3.0,1.9,3.1,4.1,3.7,3.0,2.6,47
2.6,4.1,1.9,2.3,1.5,4.7,1.4,48
2.7,4.2,1.3,5.0,2.6,2.2,1.2,49
2.5,4.4,2.5,2.4,1.7,2.9,1.5,50
2.5,3.6,1.1,2.5,1.5,2.5,4.2,51
3.5,4.9,3.1,2.3,3.0,4.9,3.3,52
3.0,2.8,2.9,1.0,4.9,1.9,5.0,53
2.5,4.7,2.1,2.6,1.9,1.4,2.7,54
2.6,4.1,1.6,4.0,2.5,2.0,1.9,55
2.8,3.4,4.1,1.8,3.1,2.6,1.8,56
2.4,1.6,1.1,4.6,3.4,1.6,2.3,57
3.1,2.2,4.6,1.0,4.9,3.5,2.5,58
2.6,1.6,1.9,1.7,1.7,3.8,4.9,59
2.5,1.4,1.1,2.2,4.0,4.4,2.4,60
2.8,2.3,4.6,2.8,2.1,2.7,2.3,61
2.3,2.7,2.4,1.0,3.3,2.7,1.8,62
3.0,4.7,2.7,3.7,3.2,1.0,2.9,63
3.4,1.1,2.5,4.8,2.7,4.7,4.6,64
3.0,1.9,3.2,2.5,4.0,4.3,2.7,65
3.4,4.3,3.9,2.4,2.6,3.5,3.9,66
1.8,1.5,3.8,2.2,1.8,1.0,1.0,67
