NAME,DATE,REVIEW_BODY,PROFILE_PIC,RATINGS_ID
Daniel Lee,October 2011, Why didn't I find this place sooner? We had so much fun! NO INDOOR PLUMBING!! The place smelled very bad! You can tell the owner really likes bears. The torcher chamber was a bit too much. I do not regret anything!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,1
Alysa Shin,February 2015, And I would do it again! We had so much fun! This place is awesome! I came here for my honemoon. BE WARNED! I do not regret anything! I want my money back. The torcher chamber was a bit too much. But the owner was cool. The owner has the best style. My partner and I always wanted to visit. But seriously tell all your friends! It was quite a drive from the airport. The view form the back porch was to die for. BEST TRIP EVER! The town was very cute. Why didn't I find this place sooner?,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,1
Mitch McDermott,March 2018, The owner has the best style. I want my money back. Why didn't I find this place sooner? I wish I could have stayed longer. And I would do it again! It was quite a drive from the airport. I came here for my honemoon. BE WARNED! BEST TRIP EVER! This place is awesome! The place smelled very bad! The town was very cute. The torcher chamber was a bit too much. The owner wouldn't let me bring my pet bear. We had so much fun! You can tell the owner really likes bears. Very much worth it. But the owner was cool. NO INDOOR PLUMBING!! The view form the back porch was to die for. My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,1
Parker Stafford,September 2013, The town was very cute. The owner wouldn't let me bring my pet bear. I wish I could have stayed longer. But seriously tell all your friends! This place is awesome! I came here for my honemoon. The view form the back porch was to die for. I want my money back. It was quite a drive from the airport. The place smelled very bad! You can tell the owner really likes bears. The torcher chamber was a bit too much. BE WARNED! I do not regret anything! NO INDOOR PLUMBING!! And I would do it again! The owner has the best style. Why didn't I find this place sooner? But the owner was cool. My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,1
Dylan Ring,March 2019, BE WARNED! The place smelled very bad! Very much worth it. The torcher chamber was a bit too much. NO INDOOR PLUMBING!! I wish I could have stayed longer. I came here for my honemoon. My partner and I always wanted to visit. We had so much fun! But the owner was cool. But seriously tell all your friends! The view form the back porch was to die for. The town was very cute. It was quite a drive from the airport. You can tell the owner really likes bears. I do not regret anything! The owner wouldn't let me bring my pet bear. BEST TRIP EVER! This place is awesome! Why didn't I find this place sooner? The owner has the best style. And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886781.jpeg,1
Elene Mikaberidze,July 2010, I want my money back. BE WARNED! NO INDOOR PLUMBING!! The view form the back porch was to die for. But the owner was cool. It was quite a drive from the airport. And I would do it again! My partner and I always wanted to visit. The owner has the best style. You can tell the owner really likes bears. The torcher chamber was a bit too much.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,2
Brandon Elzy,April 2019, The torcher chamber was a bit too much.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,2
Leah Cardon,August 2019, BE WARNED! But seriously tell all your friends! It was quite a drive from the airport. The view form the back porch was to die for. The town was very cute. We had so much fun! The torcher chamber was a bit too much. And I would do it again! I do not regret anything! I came here for my honemoon. My partner and I always wanted to visit. I wish I could have stayed longer. You can tell the owner really likes bears. The owner has the best style. Very much worth it.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,2
Michael Wetterauer,December 2018, My partner and I always wanted to visit. The place smelled very bad! It was quite a drive from the airport. I want my money back. The town was very cute. Why didn't I find this place sooner? This place is awesome! The torcher chamber was a bit too much. You can tell the owner really likes bears. And I would do it again! The owner wouldn't let me bring my pet bear. I wish I could have stayed longer. But seriously tell all your friends! NO INDOOR PLUMBING!!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,2
Jeremy England,January 2011, NO INDOOR PLUMBING!! I want my money back. But seriously tell all your friends! The town was very cute. I came here for my honemoon. I wish I could have stayed longer. The owner wouldn't let me bring my pet bear. The owner has the best style. BE WARNED! And I would do it again! The place smelled very bad! You can tell the owner really likes bears. The torcher chamber was a bit too much. My partner and I always wanted to visit. BEST TRIP EVER! I do not regret anything! This place is awesome! Why didn't I find this place sooner? Very much worth it. But the owner was cool. We had so much fun! The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4100670.jpeg,2
